AdapterName,AdapterDescription,Status,Speed,MacAddress,RegistryPath,PropertyName,PropertyKey,CurrentValue,RawValue,SupportedValues
"MJ-TX-3","Realtek PCIe GBE Family Controller","Down","Unknown","98:29:A6:54:E2:59","SYSTEM\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002","Advanced EEE","AdvancedEEE","开启","1","关闭=0 | 开启=1"
"MJ-TX-3","Realtek PCIe GBE Family Controller","Down","Unknown","98:29:A6:54:E2:59","SYSTEM\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002","ARP 减负","*PMARPOffload","开启","1","关闭=0 | 开启=1"
"MJ-TX-3","Realtek PCIe GBE Family Controller","Down","Unknown","98:29:A6:54:E2:59","SYSTEM\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002","Gigabit Lite","GigaLite","开启","1","关闭=0 | 开启=1"
"MJ-TX-3","Realtek PCIe GBE Family Controller","Down","Unknown","98:29:A6:54:E2:59","SYSTEM\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002","IPv4 硬件校验和","*IPChecksumOffloadIPv4","Rx & Tx 开启","3","关闭=0 | Tx 开启=1 | Rx 开启=2 | Rx & Tx 开启=3"
"MJ-TX-3","Realtek PCIe GBE Family Controller","Down","Unknown","98:29:A6:54:E2:59","SYSTEM\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002","NS 减负","*PMNSOffload","开启","1","关闭=0 | 开启=1"
"MJ-TX-3","Realtek PCIe GBE Family Controller","Down","Unknown","98:29:A6:54:E2:59","SYSTEM\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002","TCP 硬件校验和 (IPv4)","*TCPChecksumOffloadIPv4","Rx & Tx 开启","3","关闭=0 | Tx 开启=1 | Rx 开启=2 | Rx & Tx 开启=3"
"MJ-TX-3","Realtek PCIe GBE Family Controller","Down","Unknown","98:29:A6:54:E2:59","SYSTEM\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002","TCP 硬件校验和 (IPv6)","*TCPChecksumOffloadIPv6","Rx & Tx 开启","3","关闭=0 | Tx 开启=1 | Rx 开启=2 | Rx & Tx 开启=3"
"MJ-TX-3","Realtek PCIe GBE Family Controller","Down","Unknown","98:29:A6:54:E2:59","SYSTEM\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002","UDP 硬件校验和 (IPv4)","*UDPChecksumOffloadIPv4","Rx & Tx 开启","3","关闭=0 | Tx 开启=1 | Rx 开启=2 | Rx & Tx 开启=3"
"MJ-TX-3","Realtek PCIe GBE Family Controller","Down","Unknown","98:29:A6:54:E2:59","SYSTEM\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002","UDP 硬件校验和 (IPv6)","*UDPChecksumOffloadIPv6","Rx & Tx 开启","3","关闭=0 | Tx 开启=1 | Rx 开启=2 | Rx & Tx 开启=3"
"MJ-TX-3","Realtek PCIe GBE Family Controller","Down","Unknown","98:29:A6:54:E2:59","SYSTEM\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002","传送缓冲区","*TransmitBuffers","128","128",""
"MJ-TX-3","Realtek PCIe GBE Family Controller","Down","Unknown","98:29:A6:54:E2:59","SYSTEM\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002","大量传送减负 v2 (IPv4)","*LsoV2IPv4","开启","1","关闭=0 | 开启=1"
"MJ-TX-3","Realtek PCIe GBE Family Controller","Down","Unknown","98:29:A6:54:E2:59","SYSTEM\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002","大量传送减负 v2 (IPv6)","*LsoV2IPv6","开启","1","关闭=0 | 开启=1"
"MJ-TX-3","Realtek PCIe GBE Family Controller","Down","Unknown","98:29:A6:54:E2:59","SYSTEM\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002","关机 网络唤醒","S5WakeOnLan","开启","1","关闭=0 | 开启=1"
"MJ-TX-3","Realtek PCIe GBE Family Controller","Down","Unknown","98:29:A6:54:E2:59","SYSTEM\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002","环保节能","EnableGreenEthernet","关闭","0","关闭=0 | 开启=1"
"MJ-TX-3","Realtek PCIe GBE Family Controller","Down","Unknown","98:29:A6:54:E2:59","SYSTEM\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002","接收端调整","*RSS","开启","1","关闭=0 | 开启=1"
"MJ-TX-3","Realtek PCIe GBE Family Controller","Down","Unknown","98:29:A6:54:E2:59","SYSTEM\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002","接收端调整最大伫列","*NumRssQueues","4个伫列","4","1个伫列=1 | 2个伫列=2 | 4个伫列=4"
"MJ-TX-3","Realtek PCIe GBE Family Controller","Down","Unknown","98:29:A6:54:E2:59","SYSTEM\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002","接收缓冲区","*ReceiveBuffers","512","512",""
"MJ-TX-3","Realtek PCIe GBE Family Controller","Down","Unknown","98:29:A6:54:E2:59","SYSTEM\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002","节能乙太网路","EEE","关闭","0","关闭=0 | 开启=1"
"MJ-TX-3","Realtek PCIe GBE Family Controller","Down","Unknown","98:29:A6:54:E2:59","SYSTEM\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002","巨型帧","*JumboPacket","9KB MTU","9216","关闭=1514 | 2KB MTU=2048 | 3KB MTU=3072 | 4KB MTU=4096 | 5KB MTU=5120 | 6KB MTU=6144 | 7KB MTU=7168 | 8KB MTU=8192 | 9KB MTU=9216"
"MJ-TX-3","Realtek PCIe GBE Family Controller","Down","Unknown","98:29:A6:54:E2:59","SYSTEM\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002","连接速度和双工模式","*SpeedDuplex","1.0 Gbps 全双工","6","自动侦测=0 | 10 Mbps 半双工=1 | 10 Mbps 全双工=2 | 100 Mbps 半双工=3 | 100 Mbps 全双工=4 | 1.0 Gbps 全双工=6"
"MJ-TX-3","Realtek PCIe GBE Family Controller","Down","Unknown","98:29:A6:54:E2:59","SYSTEM\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002","流控制","*FlowControl","Rx & Tx 开启","3","关闭=0 | Rx & Tx 开启=3"
"MJ-TX-3","Realtek PCIe GBE Family Controller","Down","Unknown","98:29:A6:54:E2:59","SYSTEM\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002","魔术封包唤醒","*WakeOnMagicPacket","开启","1","关闭=0 | 开启=1"
"MJ-TX-3","Realtek PCIe GBE Family Controller","Down","Unknown","98:29:A6:54:E2:59","SYSTEM\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002","网络地址","NetworkAddress","","",""
"MJ-TX-3","Realtek PCIe GBE Family Controller","Down","Unknown","98:29:A6:54:E2:59","SYSTEM\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002","网络唤醒和关机连接速度","WolShutdownLinkSpeed","100 Mbps 优先","1","10 Mbps 优先=0 | 100 Mbps 优先=1 | 不降速=2"
"MJ-TX-3","Realtek PCIe GBE Family Controller","Down","Unknown","98:29:A6:54:E2:59","SYSTEM\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002","样式比对唤醒","*WakeOnPattern","开启","1","关闭=0 | 开启=1"
"MJ-TX-3","Realtek PCIe GBE Family Controller","Down","Unknown","98:29:A6:54:E2:59","SYSTEM\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002","优先级和VLAN","*PriorityVLANTag","优先级和VLAN 开启","3","优先级和VLAN 关闭=0 | 优先级开启=1 | VLAN 开启=2 | 优先级和VLAN 开启=3"
"MJ-TX-3","Realtek PCIe GBE Family Controller","Down","Unknown","98:29:A6:54:E2:59","SYSTEM\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002","中断调整","*InterruptModeration","关闭","0","关闭=0 | 开启=1"
"MJ-TX-3","Realtek PCIe GBE Family Controller","Down","Unknown","98:29:A6:54:E2:59","SYSTEM\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002","自动关闭 Gigabit","AutoDisableGigabit","关闭","0","关闭=0 | 重新联接, 电池=1 | 重新联接, 电池或者交流电源=2"
